                        domain                         |       ip        
 spe-gigya-services.sonypicturessro.com                | 52.8.125.88
 sf.prod.sonyentertainmentnetwork.com                  | 52.8.249.137
 friendme.sonyentertainmentnetwork.com                 | 52.8.243.217
 dealersource.sel.sony.com                             | 52.86.70.12
 clu.sonymobile.com                                    | 52.8.38.243
 keyserver-qa.sonypicturessro.com                      | 52.8.101.3
 adminapi.sonypicturessro.com                          | 52.8.211.84
 *.sonyliv.com                                         | 13.126.214.96
 *.sonyliv.com                                         | 18.136.53.56
 *.sonyliv.com                                         | 18.136.164.172
 *.sonyliv.com                                         | 18.136.184.93
 *.sonyliv.com                                         | 18.136.167.60
 *.sonyliv.com                                         | 18.136.111.49
 *.sonyliv.com                                         | 18.136.133.118
 drm-proxy-qa.sonypicturessro.com                      | 18.136.108.253
 *.sonyliv.com                                         | 18.136.46.192
 *.sonyliv.com                                         | 13.126.233.0
 *.sony.jp                                             | 18.179.127.12
 *.csn.sony.net                                        | 18.179.167.87
 *.sonyliv.com                                         | 13.126.41.29
 *.sonyliv.com                                         | 13.126.172.205
 *.sonyliv.com                                         | 13.126.178.229
 *.sonyliv.com                                         | 13.126.141.205
 *.sonyliv.com                                         | 13.126.154.116
 *.sonyliv.com                                         | 13.126.104.65
 *.sonyliv.com                                         | 13.126.102.140
 *.sonyliv.com                                         | 13.126.170.213
 *.sonyliv.com                                         | 13.126.109.40
 *.sonyliv.com                                         | 13.126.86.254
 *.sonyliv.com                                         | 13.126.205.231
 drm-proxy.sonypicturessro.com                         | 13.57.148.79
 *.sonyliv.com                                         | 13.126.122.245
 *.sonyliv.com                                         | 18.136.76.134
 *.sonyliv.com                                         | 18.136.179.231
 *.sonyliv.com                                         | 18.136.99.236
 *.sonyliv.com                                         | 18.136.171.106
 *.sonyliv.com                                         | 18.136.162.252
 *.sonyliv.com                                         | 18.136.128.15
 *.pen.stage.retail.me.sony.com                        | 50.112.163.77
 *.erabu.sony.tv                                       | 50.112.194.13
 *.prc.sonydna.com                                     | 18.179.82.67
 fido2.sony-blockchain.net                             | 18.179.133.128
 *.prc.sonydna.com                                     | 18.179.244.46
 jenkins.sonypicturessro.com                           | 13.57.175.107
 *.sonyliv.com                                         | 13.126.19.18
 *.sonyliv.com                                         | 13.126.142.50
 *.sonyliv.com                                         | 13.126.129.87
 *.sonyliv.com                                         | 13.126.172.198
 *.sonyliv.com                                         | 13.126.133.224
 *.sonyliv.com                                         | 13.126.155.111
 *.sonyliv.com                                         | 13.126.58.137
 *.sonyliv.com                                         | 13.126.116.225
 *.sonyliv.com                                         | 13.126.204.94
 *.sonyliv.com                                         | 13.126.33.135
 *.sonyliv.com                                         | 13.126.223.149
 *.sonyliv.com                                         | 13.126.233.56
 *.sonyliv.com                                         | 13.126.129.185
 *.sonyliv.com                                         | 13.126.236.14
 *.sonyliv.com                                         | 13.126.242.26
 *.sonyliv.com                                         | 13.127.5.208
 *.sonyliv.com                                         | 13.127.8.238
 *.sonyliv.com                                         | 13.127.2.3
 *.sonyliv.com                                         | 13.127.47.228
 *.sonyliv.com                                         | 13.127.55.61
 *.sonyliv.com                                         | 13.127.39.142
 *.sonyliv.com                                         | 13.127.100.25
 *.sonyliv.com                                         | 13.127.96.254
 *.sonyliv.com                                         | 13.127.58.55
 *.sonyliv.com                                         | 13.127.128.193
 *.sonyliv.com                                         | 13.127.153.77
 *.sonyliv.com                                         | 13.127.144.68
 *.sonyliv.com                                         | 13.127.149.73
 *.sonyliv.com                                         | 13.127.57.139
 *.sonyliv.com                                         | 13.127.135.144
 *.sonyliv.com                                         | 13.127.113.232
 *.sonyliv.com                                         | 13.127.90.119
 *.sonyliv.com                                         | 13.127.72.233
 *.sonyliv.com                                         | 13.127.125.91
 *.sonyliv.com                                         | 13.127.253.125
 *.sonyliv.com                                         | 13.127.165.177
 *.sonyliv.com                                         | 13.127.90.200
 *.sonyliv.com                                         | 13.127.250.181
 *.sonyliv.com                                         | 13.127.201.36
 *.sonyliv.com                                         | 13.127.78.71
 *.sonyliv.com                                         | 13.127.94.45
 *.sonyliv.com                                         | 15.206.0.226
 *.sonyliv.com                                         | 13.127.185.224
 *.sonyliv.com                                         | 15.206.6.162
 *.sonyliv.com                                         | 13.127.195.247
 *.sonyliv.com                                         | 13.127.114.9
 *.sonyliv.com                                         | 13.127.165.219
 *.sonyliv.com                                         | 13.127.140.128
 *.sonyliv.com                                         | 15.206.55.4
 *.sonyliv.com                                         | 13.127.244.227
 *.sonyliv.com                                         | 13.126.253.197
 drm-proxy-qa.sonypicturessro.com                      | 50.18.198.67
 *.sonyliv.com                                         | 15.206.48.170
 developers.sonypicturessro.com                        | 50.18.199.128
 *.sonyliv.com                                         | 15.206.197.235
 *.sonyliv.com                                         | 15.206.60.25
 *.sonyliv.com                                         | 15.206.98.246
 store.sonyentertainmentnetwork.com                    | 50.18.199.117
 *.sonya.com                                           | 52.29.11.18
 *.sonymaexpress.org                                   | 54.173.200.90
 ets.sony.com                                          | 54.88.29.164
 *.sonya.com                                           | 52.29.204.236
 *.hot.sonydna.com                                     | 52.192.241.197
 pre.atv.start.sony.jp                                 | 52.192.24.169
 idd.sonymobile.com                                    | 176.32.78.4
 pulselive.sony.com.au                                 | 13.55.181.181
 mdmcls.sonyanz.com                                    | 13.55.56.229
 www.sonymusic.co.jp                                   | 52.192.178.194
 *.sonyged.com                                         | 52.193.214.70
 kibana-poc.lpwa.jp.sony.biz                           | 52.193.178.17
 pre.atv.start.sony.jp                                 | 52.192.237.71
 *.ebookstore.sony.jp                                  | 52.193.79.232
 *.ebookstore.sony.jp                                  | 52.193.38.173
 *.sonyged.com                                         | 52.192.146.218
 *.sonyged.com                                         | 52.192.26.26
 fido-test.sony-blockchain.net                         | 52.193.40.158
 www.sonymusicshop.jp                                  | 52.192.227.84
 www.sonymusic.co.jp                                   | 52.193.212.54
 stg.sonymusicshop.jp                                  | 52.193.221.223
 www.sonymusic.co.jp                                   | 54.238.142.32
 *.ebookstore.sony.jp                                  | 54.238.251.170
 api.spot.app.sony.jp                                  | 54.238.247.15
 api.spot.app.sony.jp                                  | 54.238.212.92
 *.dev.sonyged.com                                     | 54.238.232.86
 *.tracking.sonymobile.com                             | 3.123.18.150
 *.tracking.sonymobile.com                             | 3.120.68.234
 *.tracking.sonymobile.com                             | 3.121.209.159
 faq.sonypictures-awards.com                           | 52.9.113.66
 drm-proxy.sonypicturessro.com                         | 52.9.6.46
 spe-gigya-services.sonypicturessro.com                | 52.9.212.254
 drm-proxy-qa.sonypicturessro.com                      | 52.9.207.78
 *.sonyliv.com                                         | 52.66.12.205
 *.sonyatlas.com                                       | 204.236.217.233
 *.sonyliv.com                                         | 52.66.79.220
 *.sonyliv.com                                         | 52.66.102.58
 *.sonyliv.com                                         | 52.66.37.39
 *.sonyliv.com                                         | 52.66.39.63
 *.sonyliv.com                                         | 52.66.77.251
 drm-proxy.sonypicturessro.com                         | 54.232.209.46
 *.sonyliv.com                                         | 52.66.102.159
 *.sonyliv.com                                         | 52.66.12.191
 *.sonyliv.com                                         | 52.66.136.141
 *.sonyliv.com                                         | 52.66.106.157
 *.sonyliv.com                                         | 52.66.183.10
 *.sonyliv.com                                         | 52.66.113.62
 *.sonyliv.com                                         | 52.66.173.9
 *.sonyliv.com                                         | 18.140.43.195
 *.sony.artistconnection.net                           | 35.170.159.232
 fido-camera-app.sony-blockchain.net                   | 52.64.163.206
 ma.sonybank.net                                       | 18.140.183.122
 *.sonyliv.com                                         | 18.141.111.97
 *.sonyliv.com                                         | 18.140.181.38
 *.swupd.sonymobile.com                                | 54.194.228.46
 *.sonyliv.com                                         | 18.141.122.138
 *.sonyliv.com                                         | 18.141.106.3
 *.search.pro-bravia.sony.net                          | 13.58.144.99
 *.nonprod.evedmp.sonynei.net                          | 52.24.10.4
 *.sagent.sonymobile.com                               | 52.24.143.116
 *.acm.account.sony.com                                | 52.25.125.98
 partner.developer.sony.com                            | 52.26.122.55
 *.biv.sony.tv                                         | 52.24.101.113
 *.sonyliv.com                                         | 18.141.18.81
 *.sonyrewards.com                                     | 52.27.0.229
 sptaws-alb-qa.spe.sony.com                            | 52.25.167.128
 *.sonynms.com                                         | 52.26.136.191
 *.sonyrewards.com                                     | 52.26.230.66
 producttesters.sony.eu                                | 3.248.56.61
 *.biv.sony.tv                                         | 52.27.79.218
 *.acm.account.sony.com                                | 52.27.83.117
 pa01.sonyvfactory.com                                 | 3.248.38.70
 spheconnectaws.spe.sony.com                           | 52.27.120.57
 mcm.mc.spe.sony.com                                   | 3.248.97.163
 *.lifelog-dev.sonymobile.com                          | 3.248.42.68
 *.gaus.sonymobile.com                                 | 3.248.113.50
 www.sonyericssonopen.com                              | 3.8.202.102
 *.dev.gaus.sonymobile.com                             | 3.248.151.230
 *.lifelog.sonymobile.com                              | 3.248.114.138
 api.stg.spot.app.sony.jp                              | 52.194.29.216
 *.sonyged.com                                         | 52.194.131.21
 *.prc.sonydna.com                                     | 52.194.27.41
 *.prc.sonydna.com                                     | 52.194.102.124
 *.sonyged.com                                         | 52.194.51.144
 *.prc.sonydna.com                                     | 52.194.19.135
 www.pops.jp.sony.biz                                  | 52.194.96.84
 test.sonyatv.org                                      | 54.197.49.131
 *.tracking.sonymobile.com                             | 35.156.114.14
 *.tracking.sonymobile.com                             | 35.156.254.106
 *.tracking.sonymobile.com                             | 35.156.161.214
 smeshtest.sonymusic.de                                | 35.157.204.85
 *.tracking.sonymobile.com                             | 35.156.206.250
 *.tracking.sonymobile.com                             | 35.158.48.116
 *.tracking.sonymobile.com                             | 35.158.21.231
 search.pro-bravia.sony.net                            | 3.16.132.48
 search.pro-bravia.sony.net                            | 3.18.184.71
 habitat.builder.gis.sony.com                          | 52.72.97.71
 fido-camera-app.sony-blockchain.net                   | 52.63.48.204
 *.sonymaexpress.org                                   | 54.164.82.29
 release.sonymusic.com                                 | 54.164.139.62
 *.sony.eu                                             | 54.164.252.71
 *.dev.gaus.sonymobile.com                             | 52.17.74.217
 prod-helpapp.sonymobile.com                           | 52.16.180.166
 *.lifelog-dev.sonymobile.com                          | 52.17.196.202
 *.lifelog-dev.sonymobile.com                          | 52.17.59.199
 *.swupd.sonymobile.com                                | 52.16.58.201
 userguide.sonymobile.com                              | 52.16.97.136
 *.dev.gaus.sonymobile.com                             | 52.17.94.53
 *.sonyliv.com                                         | 35.154.14.149
 *.gaus.sonymobile.com                                 | 52.17.240.102
 *.sonyliv.com                                         | 35.154.231.189
 *.sonyliv.com                                         | 35.154.23.27
 *.sonyliv.com                                         | 35.154.12.188
 *.pd.biv.sony.tv                                      | 52.89.211.245
 *.sonyliv.com                                         | 35.154.215.149
 *.pd.biv.sony.tv                                      | 52.89.242.157
 *.sonyliv.com                                         | 35.154.232.83
 *.prod.sonyentertainmentnetwork.com                   | 52.88.235.210
 *.sonyliv.com                                         | 35.154.153.34
 stage-portals.sonypictures.com                        | 52.89.24.116
 *.biv.sony.tv                                         | 52.88.221.41
 *.sagent.sonymobile.com                               | 52.88.190.40
 producttestersfr.sony.eu                              | 18.202.207.216
 *.pen.stage.biv.sony.tv                               | 18.203.27.187
 *.swupd.sonymobile.com                                | 18.203.191.199
 *.indevice.sonymobile.com                             | 18.203.243.9
 *.sonymaexpress.org                                   | 3.223.201.141
 *.sonymaexpress.org                                   | 3.214.255.173
 prod.garata.services.sony.com                         | 3.216.58.142
 *.sonybiotechnology.com                               | 3.211.65.31
 *.sony.eu                                             | 54.174.16.160
 *.swupd.sonymobile.com                                | 54.175.88.77
 release.sonymusic.com                                 | 54.175.142.36
 esstracking-receiver.test.swups.sonymobile.com        | 54.76.3.153
 *.prc.sonydna.com                                     | 13.230.203.229
 *.ebookstore.sony.jp                                  | 13.230.218.222
 *.prc.sonydna.com                                     | 18.176.25.133
 *.sonyged.com                                         | 18.177.159.184
 www.sonymusic.co.jp                                   | 18.177.191.40
 *.sonyjp.com                                          | 18.177.231.239
 *.pen.stage.biv.sony.tv                               | 54.76.241.123
 developer.sony.com                                    | 54.76.74.84
 developer.sony.com                                    | 54.76.43.132
 producttestersde.sony.eu                              | 54.76.223.43
 mcm-dev.mc.spe.sony.com                               | 54.76.22.83
 smesh.sonymusic.de                                    | 18.197.9.119
 *.dev.gaus.sonymobile.com                             | 54.76.125.240
 *.dev.gaus.sonymobile.com                             | 54.76.88.242
 prod.xperiatransfercloud.sonymobile.com               | 54.77.160.234
 *.social.sc.sonymobile.com                            | 54.76.22.159
 *.internet.sony.tv                                    | 52.40.192.121
 *.gaus.sonymobile.com                                 | 54.77.129.56
 xperia-stage-elasticsearch.stage.swups.sonymobile.com | 54.77.16.243
 sptaws-alb-dev.spe.sony.com                           | 52.40.181.11
 *.dl.sony.com                                         | 52.41.40.175
 productionlogik-qa.spe.sony.com                       | 52.42.197.42
 *.dev.sagent.sonymobile.com                           | 52.40.254.90
 *.sagent.sonymobile.com                               | 52.43.29.34
 qa.concierge.support.sony.net                         | 52.41.251.65
 *.lw2.dev.biv.sony.tv                                 | 52.42.146.188
 *.internet.sony.tv                                    | 52.42.30.37
 *.biv.sony.tv                                         | 52.42.95.83
 cirus.sde.sony.com                                    | 52.43.167.167
 *.internet.sony.tv                                    | 52.43.68.254
 *.swupd.sonymobile.com                                | 34.240.81.82
 internet.sony.tv                                      | 52.43.214.8
 *.pd.biv.sony.tv                                      | 52.43.36.212
 *.pen.stage.retail.me.sony.com                        | 52.42.209.248
 *.indevice.sonymobile.com                             | 34.240.75.8
 *.lifelog.sonymobile.com                              | 34.240.66.220
 *.pen.stage.biv.sony.tv                               | 34.240.158.239
 *.biv.sony.tv                                         | 52.43.223.247
 *.social.sc.sonymobile.com                            | 34.240.0.103
 *.pen.stage.biv.sony.tv                               | 34.242.54.113
 *.xd.sonymobile.com                                   | 34.241.45.235
 producttestersnl.sony.eu                              | 34.241.28.41
 xperia-test-elasticsearch.test.swups.sonymobile.com   | 34.241.171.249
 *.di.sonymobile.com                                   | 34.242.23.20
 *.lifelog.sonymobile.com                              | 34.243.211.34
 *.lifelog-dev.sonymobile.com                          | 34.243.192.181
 *.dev.gaus.sonymobile.com                             | 34.246.81.91
 *.swupd.sonymobile.com                                | 34.246.44.236
 *.pen.stage.biv.sony.tv                               | 34.247.117.158
 producttesters.sony.eu                                | 34.246.151.7
 *.lifelog.sonymobile.com                              | 34.247.3.216
 *.indevice.sonymobile.com                             | 34.247.72.178
 3cgui.dev.sony.eu                                     | 34.247.5.43
 spheconnectaws-dev.spe.sony.com                       | 52.33.199.117
 *.biv.sony.tv                                         | 52.32.112.75
 *.biv.sony.tv                                         | 52.33.162.79
 *.biv.sony.tv                                         | 52.33.176.156
 *.biv.sony.tv                                         | 52.33.167.226
 internet.sony.tv                                      | 52.34.52.60
 *.dl.sony.com                                         | 52.32.49.44
 *.dev.sagent.sonymobile.com                           | 52.35.190.126
 spheconnectaws-qa.spe.sony.com                        | 52.34.215.58
 concierge.support.sony.net                            | 52.35.231.133
 *.dan.dev.biv.sony.tv                                 | 52.35.106.223
 *.sagent.sonymobile.com                               | 52.35.180.33
 mcm-qa.mc.spe.sony.com                                | 54.72.197.174
 www-origin.sonymobile.co.jp                           | 52.35.247.200
 *.sonycontent.io                                      | 54.72.72.127
 *.gaus.sonymobile.com                                 | 54.72.189.65
 blogs-stage.sonymobile.com                            | 176.34.176.238
 *.pen.stage.biv.sony.tv                               | 54.72.199.212
 *.xd.sonymobile.com                                   | 54.72.31.222
 *.tracking.sonymobile.com                             | 18.195.130.61
 *.erabu.sony.tv                                       | 54.186.108.137
 *.tracking.sonymobile.com                             | 18.195.148.148
 connect-alb.sonypictures.com                          | 54.187.10.61
 *.internet.sony.tv                                    | 54.187.67.241
 *.sagent.sonymobile.com                               | 54.186.44.151
 *.sonyrewards.com                                     | 54.186.37.110
 *.dev.sagent.sonymobile.com                           | 54.188.226.100
 *.sonyliv.com                                         | 3.6.165.122
 *.acm.account.sony.com                                | 54.189.146.18
 *.lw2.dev.biv.sony.tv                                 | 54.191.130.66
 *.internet.sony.tv                                    | 54.191.216.8
 *.sonyliv.com                                         | 3.6.197.33
 *.sonyliv.com                                         | 3.6.144.175
 *.sonyliv.com                                         | 3.6.42.249
 *.sonyliv.com                                         | 3.6.5.124
 *.sonyliv.com                                         | 3.6.199.180
 *.sonyliv.com                                         | 3.7.9.41
 *.sonyliv.com                                         | 3.6.3.1
 *.sonyliv.com                                         | 3.7.51.106
 *.sonyliv.com                                         | 3.6.167.169
 *.sonyliv.com                                         | 3.6.194.250
 *.sonyliv.com                                         | 3.6.0.47
 *.sonyliv.com                                         | 3.7.53.162
 *.sonyliv.com                                         | 3.6.177.64
 *.sonyliv.com                                         | 3.6.145.97
 *.sonyliv.com                                         | 3.6.225.135
 *.sonyliv.com                                         | 3.7.64.205
 *.sonyliv.com                                         | 3.6.8.176
 *.sonyliv.com                                         | 3.6.122.101
 *.sonyliv.com                                         | 3.6.226.90
 *.sonyliv.com                                         | 3.7.93.99
 *.sonyliv.com                                         | 3.7.99.252
 *.sonyliv.com                                         | 3.7.106.142
 *.sonyliv.com                                         | 3.7.109.13
 *.sonyliv.com                                         | 3.7.104.170
 *.sonyliv.com                                         | 3.7.109.108
 *.sonyliv.com                                         | 3.7.114.254
 *.sonyliv.com                                         | 3.7.129.14
 *.sonyliv.com                                         | 3.7.115.145
 *.sonyliv.com                                         | 3.7.134.73
 *.sonyliv.com                                         | 3.7.127.121
 *.sonyliv.com                                         | 3.7.119.215
 *.sonyliv.com                                         | 3.7.127.76
 *.sonyliv.com                                         | 3.7.118.239
 *.sonyliv.com                                         | 3.7.112.162
 *.sonyliv.com                                         | 3.7.119.186
 *.sonyliv.com                                         | 3.7.121.176
 www.service.sony-latin.com                            | 52.67.172.165
 *.sonyliv.com                                         | 3.7.138.227
 *.sonyliv.com                                         | 3.6.26.99
 *.sonyliv.com                                         | 3.6.221.41
 *.sonyliv.com                                         | 18.138.60.0
 *.sonyliv.com                                         | 18.138.16.209
 *.sonyliv.com                                         | 18.138.43.42
 *.sonyliv.com                                         | 18.139.73.193
 *.sonyliv.com                                         | 18.138.115.125
 *.sonyliv.com                                         | 18.138.110.241
 *.sonyliv.com                                         | 18.138.38.25
 *.sonyliv.com                                         | 18.138.98.8
 *.sonyliv.com                                         | 18.138.194.28
 clu.sonymobile.com                                    | 52.52.249.216
 adminapi.sonypicturessro.com                          | 52.52.88.106
 *.sonyliv.com                                         | 18.139.177.184
 *.sonyliv.com                                         | 18.138.166.38
 *.sonyliv.com                                         | 18.139.126.57
 *.sonyliv.com                                         | 18.139.181.6
 *.sonyliv.com                                         | 18.139.198.120
 *.sonyliv.com                                         | 18.139.181.185
 *.prod.sonyentertainmentnetwork.com                   | 52.53.50.12
 *.sonyliv.com                                         | 18.139.180.53
 *.xd.sonymobile.com                                   | 34.248.50.240
 adminapi-qa.sonypicturessro.com                       | 52.52.209.149
 mcm.mc.spe.sony.com                                   | 34.248.186.153
 *.indevice.sonymobile.com                             | 34.251.46.77
 *.social.sc.sonymobile.com                            | 34.250.214.206
 xperia-prod-elasticsearch.swups.sonymobile.com        | 34.249.150.57
 *.dev.gaus.sonymobile.com                             | 34.251.95.214
 *.swupd.sonymobile.com                                | 34.252.11.28
 producttestersde.sony.eu                              | 34.249.162.66
 *.pen.stage.biv.sony.tv                               | 34.251.131.51
 *.sonycontent.io                                      | 34.253.169.50
 *.swupd.sonymobile.com                                | 34.252.132.141
 *.synchub-stage.sonymobile.com                        | 34.255.54.64
 mcm-ext.mc.spe.sony.com                               | 34.253.121.52
 stage.xtcloud-stage.sonymobile.com                    | 34.252.223.36
 stage.xtcloud-stage.sonymobile.com                    | 34.254.30.37
 services.sony.ie                                      | 34.253.75.55
 *.lifelog-dev.sonymobile.com                          | 34.253.151.69
 *.synchub-stage.sonymobile.com                        | 34.254.140.36
 *.dev.gaus.sonymobile.com                             | 34.254.126.234
 *.sonyliv.com                                         | 52.76.2.22
 *.lifelog-dev.sonymobile.com                          | 34.255.164.232
 dev.xtcloud-stage.sonymobile.com                      | 108.129.2.203
 system.bs.sony.jp                                     | 54.178.187.49
 *.lifelog-dev.sonymobile.com                          | 108.128.52.131
 *.sonyliv.com                                         | 52.76.22.111
 *.evedmp.sonynei.net                                  | 35.155.249.154
 *.sonyliv.com                                         | 52.76.30.3
 *.sonyliv.com                                         | 52.76.20.160
 *.sony.com                                            | 52.76.56.254
 *.sonyliv.com                                         | 52.76.94.225
 *.dev.gaus.sonymobile.com                             | 52.18.102.93
 *.sonyliv.com                                         | 52.76.96.92
 *.sonyliv.com                                         | 52.76.7.146
 *.sonyliv.com                                         | 52.76.88.125
 *.sonyliv.com                                         | 52.76.90.88
 developer.sony.com                                    | 52.19.105.114
 call.me.sel.sony.com                                  | 52.10.153.37
 3d-creator.sonymobile.com                             | 52.19.121.32
 *.gaus.sonymobile.com                                 | 52.18.178.13
 *.swupd.sonymobile.com                                | 52.18.138.140
 portals.sonypictures.com                              | 52.10.183.253
 *.nonprod.evedmp.sonynei.net                          | 52.10.249.150
 *.lifelog-dev.sonymobile.com                          | 52.19.98.41
 *.sony.eu                                             | 100.25.106.220
 *.evedmp.sonynei.net                                  | 52.10.180.77
 sptaws-alb-dev.spe.sony.com                           | 52.11.68.148
 *.sagent.sonymobile.com                               | 52.11.183.199
 chef.automate.gis.sony.com                            | 100.25.6.233
 qa.sonypicturesscreeners.com                          | 54.176.134.247
 *.sonyliv.com                                         | 54.251.188.123
 adminapi-qa.sonypicturessro.com                       | 54.176.234.75
 csl.sony.fr                                           | 54.246.158.81
 *.sonyliv.com                                         | 54.251.158.219
 *.sonyliv.com                                         | 54.251.162.113
 *.sonyliv.com                                         | 54.251.137.76
 *.sonyliv.com                                         | 54.251.190.217
 *.sonyliv.com                                         | 3.0.30.189
 *.sonyliv.com                                         | 54.251.143.71
 *.sonyliv.com                                         | 52.77.11.197
 *.sonyliv.com                                         | 3.0.244.246
 *.sonyliv.com                                         | 52.77.11.196
 *.sonyliv.com                                         | 52.77.22.252
 *.sonyliv.com                                         | 52.77.181.56
 *.sonyliv.com                                         | 52.77.162.240
 *.sonyliv.com                                         | 52.77.194.240
 *.sonyliv.com                                         | 52.77.179.32
 *.sonyliv.com                                         | 52.77.91.167
 *.sonyliv.com                                         | 52.77.71.147
 *.sonyliv.com                                         | 52.77.138.126
 *.sonyliv.com                                         | 52.77.166.185
 *.sonyliv.com                                         | 52.77.140.15
 *.sonyliv.com                                         | 13.228.76.149
 *.di.sonymobile.com                                   | 46.137.34.166
 *.sonyliv.com                                         | 13.228.35.251
 *.sonyliv.com                                         | 13.228.4.162
 *.sonyliv.com                                         | 13.228.162.36
 *.sonyged.com                                         | 52.196.51.140
 *.sonyliv.com                                         | 13.228.114.0
 *.sonyliv.com                                         | 13.228.221.14
 *.sonyliv.com                                         | 13.228.68.89
 *.sonyliv.com                                         | 13.228.251.115
 *.sonyliv.com                                         | 13.229.161.122
 acafe.msc.sony.jp                                     | 52.196.91.40
 *.sonyliv.com                                         | 13.228.68.93
 *.sonyliv.com                                         | 13.229.192.174
 *.redmine.sonymusic.co.jp                             | 52.196.37.137
 *.sonyliv.com                                         | 13.229.193.237
 oauth-fido2.sony-blockchain.net                       | 52.196.141.137
 *.ebookstore.sony.jp                                  | 52.197.84.246
 *.prc.sonydna.com                                     | 52.197.152.86
 *.prc.sonydna.com                                     | 52.196.140.195
 *.sonyliv.com                                         | 13.229.195.137
 *.sonyged.com                                         | 52.197.60.159
 *.reach.sonymobile.biz                                | 52.199.28.10
 *.sony-fudosan.com                                    | 52.196.241.82
 *.sonyged.com                                         | 52.197.212.171
 *.ebookstore.sony.jp                                  | 52.197.229.207
 dx.sony.net                                           | 52.196.145.106
 www.sonymusic.co.jp                                   | 52.196.171.70
 stg.myat.app.sonymarketing.jp                         | 52.199.40.248
 *.prc.sonydna.com                                     | 52.198.235.212
 *.hot.sonydna.com                                     | 52.199.19.58
 fido-test.sony-blockchain.net                         | 52.198.43.48
 *.sonyged.com                                         | 52.198.207.206
 *.sonyged.com                                         | 52.198.99.54
 *.ebookstore.sony.jp                                  | 52.199.46.32
 *.sonyged.com                                         | 52.199.77.11
 *.sony-fudosan.com                                    | 52.199.8.253
 *.csn.sony.net                                        | 52.198.147.195
 www.felica-support.sony.biz                           | 52.198.126.52
 applicast.tv.start.sony.jp                            | 52.199.247.150
 *.hot.sonydna.com                                     | 52.199.105.186
 centerstage.sie.sony.com                              | 52.5.194.162
 esi.sony.ca                                           | 52.4.123.194
 howto.sonypicturesrunner.com                          | 52.5.174.81
 staging.sonypicturesrunner.com                        | 52.5.219.243
 *.sonymaexpress.org                                   | 52.6.8.60
 *.swupd.sonymobile.com                                | 52.7.69.190
 *.mobility-ai.sony.net                                | 54.249.73.5
 blogs-stage.sonymobile.com                            | 54.247.73.161
 *.sonyged.com                                         | 54.249.77.170
 submit-actioncam.sony.net                             | 54.248.73.41
 *.sonybiotechnology.com                               | 52.7.247.229
 *.sonyged.com                                         | 54.249.91.210
 *.biv.sony.tv                                         | 54.148.228.48
 *.hot.sonydna.com                                     | 54.248.120.95
 *.nonprod.evedmp.sonynei.net                          | 54.149.36.208
 *.acm.account.sony.com                                | 54.148.251.55
 *.dan.dev.biv.sony.tv                                 | 54.148.133.247
 stage-portals.sonypictures.com                        | 54.149.156.227
 microsites.sonypictures.com                           | 54.149.38.118
 *.navcloud.sonynei.net                                | 54.148.105.186
 producttestersfr.sony.eu                              | 18.200.114.164
 *.pen.stage.biv.sony.tv                               | 18.200.210.63
 *.as-extranet.sonymobile.com                          | 18.200.215.118
 *.sony.eu                                             | 18.232.219.108
 dealersource.sel.sony.com                             | 54.158.111.50
 *.sonybiotechnology.com                               | 54.158.15.245
 nvx.sony.com                                          | 18.233.51.112
 systemwatch.sony.com                                  | 54.236.98.216
 serviceqa.sony-latin.com                              | 54.236.170.159
 *.indevice.sonymobile.com                             | 54.229.18.54
 ddweb.sony-europe.com                                 | 54.229.128.214
 *.flashgordon.sonymobile.com                          | 63.34.192.104
 *.synchub.sonymobile.com                              | 54.229.18.127
 www.sonymusic.co.jp                                   | 54.250.190.138
 *.ebookstore.sony.jp                                  | 54.250.150.109
 www.sonymusic.co.jp                                   | 54.250.223.19
 *.csn.sony.net                                        | 107.21.10.181
 *.swupd.sonymobile.com                                | 63.33.37.153
 *.pen.stage.biv.sony.tv                               | 63.33.29.50
 *.idd-config.sonymobile.com                           | 63.33.134.169
 internet.sony.tv                                      | 54.200.123.27
 mcm-dev.mc.spe.sony.com                               | 63.33.117.251
 services.sony.ie                                      | 63.34.229.71
 *.swupd.sonymobile.com                                | 63.34.205.228
 *.biv.sony.tv                                         | 54.200.86.198
 productionlogik-stg.spe.sony.com                      | 54.200.36.215
 *.nonprod.evedmp.sonynei.net                          | 54.200.52.70
 productionlogik-stg.spe.sony.com                      | 54.201.226.62
 *.pd.biv.sony.tv                                      | 54.201.209.111
 *.sony.artistconnection.net                           | 54.147.250.61
 *.sonyliv.com                                         | 54.169.30.7
 *.sonyliv.com                                         | 54.169.6.245
 *.sonyliv.com                                         | 54.169.112.140
 *.sonyliv.com                                         | 54.169.198.201
 prod.garata.services.sony.com                         | 54.147.249.41
 *.sonyliv.com                                         | 54.169.7.253
 *.sonyliv.com                                         | 54.169.102.228
 *.sonyliv.com                                         | 54.169.168.219
 *.sonyliv.com                                         | 54.169.104.234
 *.sonyliv.com                                         | 54.169.146.164
 *.sonyliv.com                                         | 54.169.32.237
 *.sonyliv.com                                         | 54.169.188.217
 *.sonyliv.com                                         | 54.169.125.8
 *.sonyliv.com                                         | 54.169.65.186
 *.sonyliv.com                                         | 54.169.247.37
 *.synchub-stage.sonymobile.com                        | 52.30.37.142
 3d-creator.sonymobile.com                             | 52.30.67.107
