                        domain                         |       ip        
 *.sonyliv.com                                         | 13.250.161.211
 link.sony-asia.com                                    | 13.251.119.218
 *.sonyliv.com                                         | 13.251.209.244
 *.sonybiotechnology.com                               | 23.20.158.180
 *.sonyliv.com                                         | 13.251.223.8
 *.sonyliv.com                                         | 13.250.90.170
 www.sonya.com                                         | 52.58.197.119
 www.sonya.com                                         | 52.58.52.180
 blogs-stage.sonymobile.com                            | 54.217.217.86
 *.biv.sony.tv                                         | 35.162.222.49
 jenkins-qa.sonypicturessro.com                        | 13.56.23.235
 *.tracking.sonymobile.com                             | 18.185.38.118
 *.pd.biv.sony.tv                                      | 35.162.254.151
 *.dev.register.me.sony.com                            | 35.162.6.15
 internet.sony.tv                                      | 35.163.165.159
 qa.concierge.support.sony.net                         | 35.163.195.246
 *.dev.gaus.sonymobile.com                             | 52.49.194.44
 cirus.sde.sony.com                                    | 35.163.98.163
 *.pd.biv.sony.tv                                      | 35.163.24.239
 *.prod.sonyentertainmentnetwork.com                   | 35.164.99.212
 spheconnectaws.spe.sony.com                           | 35.164.129.215
 *.dan.dev.biv.sony.tv                                 | 35.161.97.107
 *.biv.sony.tv                                         | 35.166.204.142
 portals.sonypictures.com                              | 35.167.24.221
 test.me.sel.sony.com                                  | 35.167.113.210
 *.gaus.sonymobile.com                                 | 52.48.141.166
 *.biv.sony.tv                                         | 35.163.240.211
 spheconnectaws-qa.spe.sony.com                        | 35.164.249.235
 sptaws-alb-dev.spe.sony.com                           | 35.163.235.56
 *.pd.biv.sony.tv                                      | 35.164.113.139
 *.dev.register.me.sony.com                            | 35.165.63.79
 *.internet.sony.tv                                    | 35.165.45.170
 *.biv.sony.tv                                         | 35.166.210.143
 userguide.sonymobile.com                              | 52.49.97.150
 *.iot.sonynetworkcom.com                              | 52.48.69.133
 *.dev.gaus.sonymobile.com                             | 52.49.74.212
 *.swupd.sonymobile.com                                | 52.49.44.126
 *.social.sc.sonymobile.com                            | 52.49.164.132
 3cgui.staging.sony.eu                                 | 52.48.148.50
 *.lifelog-dev.sonymobile.com                          | 52.49.202.247
 developer.sony.com                                    | 52.49.179.137
 *.gaus.sonymobile.com                                 | 52.49.188.197
 *.lifelog-dev.sonymobile.com                          | 52.49.234.120
 psejira.sony.eu                                       | 52.50.0.215
 *.xd.sonymobile.com                                   | 52.50.136.59
 *.indevice.sonymobile.com                             | 52.50.248.222
 *.idd-config.sonymobile.com                           | 52.50.115.107
 *.gaus.sonymobile.com                                 | 52.51.218.37
 *.indevice.sonymobile.com                             | 52.50.123.58
 *.indevice.sonymobile.com                             | 52.51.33.125
