"sal.uberinternal.com","52.33.46.139"
"vpn.awscorp.uberinternal.com","52.32.63.81"
"team.uberinternal.com","54.189.65.112"
"jira-dev.uberinternal.com","52.35.58.98"
"jira-staging.uberinternal.com","52.35.34.174"
"vpn.awscorp.uberinternal.com","52.67.4.239"
"vpn.awscorp.uberinternal.com","52.67.8.220"
"vpn.awscorp.uberinternal.com","52.67.6.249"
"vpn.awscorp.uberinternal.com","52.67.227.106"
"vpn.awscorp.uberinternal.com","52.67.10.140"
"vpn.awscorp.uberinternal.com","52.67.4.206"
"carbon-prototype.uberinternal.com","52.52.214.159"
"vpn.awscorp.uberinternal.com","52.77.29.131"
